date,price
20051209,8572
20051212,8277
20051213,8395
20051214,8366
20051215,8248
20051216,8322
20051219,8160
20051220,8056
20051221,8587
20051222,8484
20051226,8410
20051227,8484
20051228,8557
20051229,8675
20051230,8631
20060104,8837
20060105,8631
20060106,8469
20060110,8233
20060111,8336
20060112,8366
20060113,8204
20060116,8277
20060117,8469
20060118,8204
20060119,8292
20060120,8380
20060123,8601
20060124,8896
20060125,8778
20060126,8734
20060127,8793
20060130,8498
20060131,8587
20060201,8248
20060202,8351
20060203,8248
20060206,8130
20060207,8027
20060208,8042
20060209,8012
20060210,7939
20060213,7924
20060214,7821
20060215,7850
20060216,7629
20060217,7585
20060220,7585
20060221,7423
20060222,7320
20060223,7600
20060224,7541
20060227,7674
20060228,7467
20060301,7498
20060302,7570
20060303,7703
20060306,7732
20060307,7718
20060308,7512
20060309,7674
20060310,7674
20060313,7556
20060314,7644
20060315,7762
20060316,7850
20060317,7659
20060320,7600
20060322,7732
20060323,7644
20060324,7570
20060327,8189
20060328,8115
20060329,8115
20060330,8277
20060331,8248
20060403,8248
20060404,8307
20060405,8351
20060406,8277
20060407,8292
20060410,8292
20060411,7865
20060412,7747
20060413,7674
20060414,7762
20060417,7924
20060418,7894
20060419,7939
20060420,8218
20060421,8336
20060424,8204
20060425,8263
20060426,8410
20060427,8513
20060428,8557
20060501,8601
20060502,8601
20060508,8675
20060509,8498
20060510,8587
20060511,8822
20060512,9176
20060515,9028
20060516,9146
20060517,9190
20060518,8955
20060519,8940
20060522,8955
20060523,8881
20060524,8925
20060525,8984
20060526,8042
20060529,7894
20060530,7600
20060531,7526
20060601,7423
20060602,7011
20060605,6996
20060606,7011
20060607,6922
20060608,7026
20060609,7011
20060612,6893
20060613,6805
20060614,6746
20060615,6834
20060616,6981
20060619,7011
20060620,7026
20060621,7026
20060622,6849
20060623,6819
20060626,6540
20060627,6554
20060628,6584
20060629,6554
20060630,6422
20060703,6333
20060704,6363
20060705,6392
20060706,6216
20060707,6495
20060710,6392
20060711,6304
20060712,6201
20060713,6083
20060714,6274
20060718,6127
20060719,6230
20060720,5965
20060721,5965
20060724,5715
20060725,5538
20060726,5509
20060727,5479
20060728,5523
20060731,5612
20060801,5641
20060802,5671
20060803,5774
20060804,5730
20060807,5744
20060808,5671
20060809,5759
20060810,5774
20060811,5803
20060814,5833
20060815,5921
20060816,5906
20060817,6009
20060818,5995
20060821,5921
20060822,5877
20060823,5818
20060824,5700
20060825,5715
20060828,5685
20060829,5582
20060830,5602
20060831,5656
20060901,5700
20060904,5715
20060905,5656
20060906,5730
20060907,5715
20060908,5626
20060911,5818
20060912,5833
20060913,5862
20060914,5685
20060915,5656
20060919,5715
20060920,5759
20060921,5730
20060922,5582
20060925,5730
20060926,5700
20060927,5582
20060928,5582
20060929,5612
20061002,5509
20061003,5509
20061004,5406
20061005,5420
20061006,5464
20061010,5509
20061011,6112
20061012,6363
20061013,6407
20061016,6363
20061017,6260
20061018,6304
20061019,6274
20061020,6319
20061023,6481
20061024,6392
20061025,6289
20061026,6333
20061027,6319
20061030,6378
20061031,6333
20061101,6348
20061102,6304
20061106,6304
20061107,6363
20061108,6319
20061109,6378
20061110,6378
20061113,6392
20061114,6392
20061115,6510
20061116,6495
20061117,6481
20061120,6451
20061121,6451
20061122,6407
20061124,6554
20061127,6584
20061128,6422
20061129,6481
20061130,6584
20061201,6598
20061204,6628
20061205,6834
20061206,6849
20061207,6760
20061208,6716
20061211,6510
20061212,6657
20061213,6790
20061214,6967
20061215,6922
20061218,6952
20061219,6864
20061220,6760
20061221,6775
20061222,6849
20061225,6525
20061226,6672
20061227,6466
20061228,6613
20061229,6481
20070104,6333
20070105,6378
20070109,6392
20070110,6348
20070111,6495
20070112,6716
20070115,6922
20070116,6996
20070117,6716
20070118,6643
20070119,6540
20070122,6731
20070123,6952
20070124,7099
20070125,7129
20070126,7084
20070129,7850
20070130,7836
20070131,8042
20070201,8071
20070202,8071
20070205,8439
20070206,8439
20070207,8690
20070208,8601
20070209,8542
20070213,8439
20070214,8690
20070215,8513
20070216,8380
20070219,8380
20070220,8189
20070221,8101
20070222,8145
20070223,8174
20070226,8042
20070227,7953
20070228,7939
20070301,7644
20070302,7659
20070305,7762
20070306,7880
20070307,7894
20070308,7939
20070309,7894
20070312,7865
20070313,7777
20070314,7953
20070315,8101
20070316,7983
20070319,8322
20070320,8380
20070322,8616
20070323,8631
20070326,8616
20070327,8646
20070328,8660
20070329,8808
20070330,8778
20070402,8734
20070403,8587
20070404,8660
20070405,8970
20070406,9220
20070409,9205
20070410,9190
20070411,9058
20070412,9161
20070413,8719
20070416,9014
20070417,9014
20070418,8940
20070419,9058
20070420,9146
20070423,8940
20070424,9132
20070425,9102
20070426,9279
20070427,9235
20070501,9264
20070502,9367
20070507,8866
20070508,8793
20070509,8660
20070510,8763
20070511,8793
20070514,8866
20070515,8984
20070516,8925
20070517,8940
20070518,8793
20070521,8984
20070522,8866
20070523,8911
20070524,8940
20070525,9073
20070528,9411
20070529,9500
20070530,9485
20070531,9308
20070601,9161
20070604,9323
20070605,9308
20070606,9294
20070607,9397
20070608,9308
20070611,9087
20070612,9205
20070613,8631
20070614,8572
20070615,8778
20070618,8690
20070619,8719
20070620,9073
20070621,9279
20070622,9043
20070625,9102
20070626,9043
20070627,8896
20070628,8822
20070629,8866
20070702,9161
20070703,9235
20070704,9411
20070705,9544
20070706,10148
20070709,10663
20070710,11370
20070711,10973
20070712,11400
20070713,10796
20070717,10855
20070718,11046
20070719,11046
20070720,11046
20070723,11444
20070724,11871
20070725,12077
20070726,12431
20070727,12519
20070730,12239
20070731,12107
20070801,12327
20070802,12151
20070803,12445
20070806,12313
20070807,11665
20070808,11827
20070809,11886
20070810,12239
20070813,11783
20070814,11871
20070815,12062
20070816,12107
20070817,12269
20070820,11900
20070821,11841
20070822,11945
20070823,11606
20070824,11915
20070827,11974
20070828,12386
20070829,12681
20070830,12372
20070831,12578
20070903,12445
20070904,12548
20070905,12696
20070906,12548
20070907,12342
20070910,12180
20070911,11812
20070912,11783
20070913,11797
20070914,11591
20070918,11193
20070919,11341
20070920,11532
20070921,12372
20070925,12136
20070926,11576
20070927,11311
20070928,10884
20071001,11193
20071002,11370
20071003,11959
20071004,12077
20071005,11886
20071009,12033
20071010,13182
20071011,13388
20071012,13476
20071015,12622
20071016,12548
20071017,12254
20071018,11473
20071019,11635
20071022,11326
20071023,10973
20071024,10619
20071025,10811
20071026,10869
20071029,10678
20071030,10545
20071031,10766
20071101,10737
20071102,10487
20071105,10752
20071106,10531
20071107,10428
20071108,9971
20071109,9809
20071112,9367
20071113,9971
20071114,9927
20071115,9735
20071116,9691
20071119,9853
20071120,9043
20071121,8970
20071122,8984
20071126,9073
20071127,9264
20071128,9161
20071129,9058
20071130,9087
20071203,9043
20071204,8911
20071205,8866
20071206,9190
20071207,9146
20071210,8911
20071211,8925
20071212,8778
20071213,8999
20071214,9014
20071217,8925
20071218,8778
20071219,8425
20071220,8439
20071221,8410
20071225,8351
20071226,8484
20071227,8469
20071228,8469
20080104,8542
20080107,8366
20080108,8248
20080109,8056
20080110,8218
20080111,7968
20080115,7791
20080116,7629
20080117,7556
20080118,7394
20080121,7305
20080122,7276
20080123,7202
20080124,7423
20080125,7099
20080128,7158
20080129,7320
20080130,7261
20080131,7173
20080201,7070
20080204,7026
20080205,6746
20080206,6716
20080207,6628
20080208,6746
20080212,6657
20080213,6702
20080214,6657
20080215,6584
20080218,6672
20080219,6922
20080220,6922
20080221,6952
20080222,6790
20080225,6702
20080226,6878
20080227,6834
20080228,6805
20080229,6849
20080303,6834
20080304,6864
20080305,6922
20080306,6967
20080307,6864
20080310,6981
20080311,6775
20080312,6805
20080313,6834
20080314,6746
20080317,6672
20080318,6657
20080319,6775
20080321,6716
20080324,6716
20080325,6687
20080326,6672
20080327,6643
20080328,6584
20080331,6584
20080401,6554
20080402,6790
20080403,6834
20080404,6760
20080407,6908
20080408,6922
20080409,6878
20080410,6834
20080411,6952
20080414,6981
20080415,7070
20080416,7026
20080417,7099
20080418,6908
20080421,6849
20080422,6775
20080423,6731
20080424,6967
20080425,7173
20080428,7143
20080430,7055
20080501,7084
20080502,7070
20080507,7070
20080508,6952
20080509,7011
20080512,6908
20080513,6893
20080514,6878
20080515,6908
20080516,6981
20080519,6805
20080520,6790
20080521,6746
20080522,6657
20080523,6584
20080526,6790
20080527,6760
20080528,6746
20080529,6908
20080530,6333
20080602,6422
20080603,6672
20080604,6643
20080605,6540
20080606,6436
20080609,6540
20080610,6613
20080611,6348
20080612,6702
20080613,6245
20080616,6363
20080617,6628
20080618,6348
20080619,6319
20080620,5980
20080623,5877
20080624,5965
20080625,5671
20080626,5347
20080627,5774
20080630,5921
20080701,6054
20080702,6009
20080703,5906
20080704,6112
20080707,6363
20080708,6319
20080709,6481
20080710,6378
20080711,6643
20080714,6849
20080715,6746
20080716,6702
20080717,6495
20080718,6392
20080722,6083
20080723,6378
20080724,6274
20080725,6068
20080728,5906
20080729,6068
20080730,6245
20080731,6260
20080801,5892
20080804,6157
20080805,6112
20080806,6319
20080807,6260
20080808,6142
20080811,6068
20080812,5921
20080813,5980
20080814,5715
20080815,5715
20080818,5936
20080819,6142
20080820,6054
20080821,6319
20080822,6436
20080825,6436
20080826,6392
20080827,6289
20080828,6171
20080829,6672
20080901,6657
20080902,6702
20080903,6628
20080904,6319
20080905,6289
20080908,6039
20080909,5950
20080910,6083
20080911,5892
20080912,6083
20080916,5936
20080917,6510
20080918,6392
20080919,6201
20080922,6731
20080924,7055
20080925,7070
20080926,7173
20080929,7909
20080930,8042
20081001,8012
20081002,7497
20081003,7629
20081006,8071
20081007,8145
20081008,8660
20081009,8292
20081010,8042
20081014,7777
20081015,7556
20081016,7674
20081017,7629
20081020,7556
20081021,7482
20081022,7438
20081023,7556
20081024,7541
20081027,7158
20081028,7497
20081029,7276
20081030,7084
20081031,7143
20081104,7011
20081105,6584
20081106,6598
20081107,6554
20081110,6378
20081111,6554
20081112,6790
20081113,6672
20081114,6613
20081117,6672
20081118,6878
20081119,6702
20081120,6672
20081121,6466
20081125,6127
20081126,6230
20081127,6260
20081128,6466
20081201,6760
20081202,6363
20081203,6466
20081204,6569
20081205,7615
20081208,7570
20081209,6554
20081210,6731
20081211,7335
20081212,6819
20081215,6319
20081216,5995
20081217,6834
20081218,6481
20081219,5965
20081222,6495
20081224,6024
20081225,6098
20081226,6378
20081229,6422
20081230,6348
20090105,5685
20090106,5582
20090107,5420
20090108,5258
20090109,5111
20090113,5111
20090114,5111
20090115,4964
20090116,5126
20090119,5067
20090120,5037
20090121,5008
20090122,5067
20090123,5082
20090126,5244
20090127,5170
20090128,5082
20090129,4934
20090130,5082
20090202,5185
20090203,5244
20090204,5199
20090205,5317
20090206,4978
20090209,5008
20090210,5096
20090212,5185
20090213,5199
20090216,4816
20090217,4816
20090218,4463
20090219,4595
20090220,4566
20090223,4286
20090224,4021
20090225,3962
20090226,4316
20090227,4242
20090302,4139
20090303,4198
20090304,4065
20090305,4080
20090306,3741
20090309,3579
20090310,3476
20090311,3535
20090312,3476
20090313,3447
20090316,3506
20090317,3565
20090318,3579
20090319,3461
20090323,3565
20090324,3535
20090325,3432
20090326,3432
20090327,3417
20090330,3550
20090331,3270
20090401,3049
20090402,3137
20090403,3049
20090406,3167
20090407,2872
20090408,2872
20090409,2799
20090410,2651
20090413,2578
20090414,2740
20090415,2872
20090416,3034
20090417,3108
20090420,3123
20090421,3049
20090422,2975
20090423,3034
20090424,3152
20090427,3064
20090428,2931
20090430,2887
20090501,3005
20090507,2990
20090508,2931
20090511,2858
20090512,2931
20090513,2828
20090514,2769
20090515,2917
20090518,2784
20090519,3182
20090520,3270
20090521,3388
20090522,3270
20090525,3977
20090526,4227
20090527,4154
20090528,4183
20090529,4124
20090601,3977
20090602,3947
20090603,3918
20090604,3800
20090605,3933
20090608,3741
20090609,4095
20090610,4183
20090611,4271
20090612,4242
20090615,4492
20090616,4213
20090617,4183
20090618,4507
20090619,4257
20090622,4213
20090623,4316
20090624,4492
20090625,4360
20090626,4699
20090629,4816
20090630,4875
20090701,5096
